,Date,Open,High,Low,Close,Volume,High-Low,Open-Close
2798,19-05-2009,226.25,228.75,194.38,195.47,4443592,34.37,30.78
2799,18-05-2009,219.00,226.25,211.75,221.24,41720,14.50,-2.24
2800,15-05-2009,197.50,200.62,195.63,199.29,1055448,4.99,-1.79
2801,14-05-2009,192.50,198.37,191.70,195.77,689800,6.67,-3.27
2802,13-05-2009,198.50,199.85,194.75,196.74,1094488,5.10,1.76
2803,12-05-2009,187.50,200.63,187.50,199.75,2065560,13.13,-12.25
2804,11-05-2009,191.13,192.25,186.92,189.32,651120,5.33,1.81
2805,08-05-2009,192.75,196.49,187.88,190.18,1472848,8.61,2.57
2806,07-05-2009,196.88,197.63,191.56,194.34,1385504,6.07,2.54
2807,06-05-2009,196.00,200.85,193.66,196.02,1881456,7.19,-0.02
2808,05-05-2009,200.25,204.38,192.83,197.87,2480440,11.55,2.38
2809,04-05-2009,189.38,204.38,186.25,203.66,2778696,18.13,-14.28
2810,29-04-2009,180.00,189.37,179.14,188.42,2181688,10.23,-8.42
2811,28-04-2009,177.25,183.61,177.17,178.95,1444720,6.44,-1.70
2812,27-04-2009,178.75,181.25,177.14,179.08,901496,4.11,-0.33
2813,24-04-2009,180.00,181.87,175.63,181.08,1556120,6.24,-1.08
2814,23-04-2009,172.50,182.50,172.50,181.24,2078520,10.00,-8.74
2815,22-04-2009,171.88,173.13,169.52,172.42,1251424,3.61,-0.54
2816,21-04-2009,172.50,173.75,169.25,170.44,646312,4.50,2.06
2817,20-04-2009,174.25,176.22,171.65,174.04,1401472,4.57,0.21
2818,17-04-2009,170.63,177.60,169.13,174.14,2642344,8.47,-3.51
2819,16-04-2009,172.50,175.00,165.37,167.67,4127056,9.63,4.83
2820,15-04-2009,168.94,172.75,162.51,171.35,6219496,10.24,-2.41
2821,13-04-2009,178.25,183.00,172.26,176.14,1567984,10.74,2.11
2822,09-04-2009,179.13,180.88,174.75,178.31,1497896,6.13,0.82
2823,08-04-2009,173.13,178.62,169.56,177.73,1369400,9.06,-4.60
2824,06-04-2009,178.13,182.13,159.38,176.81,2135240,22.75,1.32
2825,02-04-2009,172.38,179.22,171.25,177.55,2041232,7.97,-5.17
2826,01-04-2009,165.75,173.00,162.88,171.94,1025400,10.12,-6.19
2827,31-03-2009,163.25,167.50,162.51,165.52,1029928,4.99,-2.27
2828,30-03-2009,166.88,166.88,161.00,162.24,1108680,5.88,4.64
2829,27-03-2009,174.75,174.75,166.25,168.35,2236112,8.50,6.40
2830,26-03-2009,167.63,174.34,167.63,172.59,3361312,6.71,-4.96
2831,25-03-2009,165.00,168.68,163.75,167.45,1873312,4.93,-2.45
2832,24-03-2009,168.13,169.92,163.78,165.37,1483936,6.14,2.76
2833,23-03-2009,162.50,167.51,162.50,166.34,1216824,5.01,-3.84
2834,20-03-2009,162.38,162.50,160.13,162.17,1203048,2.37,0.21
2835,19-03-2009,160.50,163.88,160.30,161.99,2043864,3.58,-1.49
2836,18-03-2009,159.75,162.72,158.38,159.69,1624928,4.34,0.06
